auction_id,auction_url,start_date,end_date,lot_id,price_realised,estimate_low,estimate_high,currency,auction_title,auction_location,artist,item_title,item_url,description_txt
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,244,554400.0,120000.0,220000.0,HKD,20th Century Art Day Sale,Hong Kong,FRANCOIS-XAVIER LALANNE,Tortue ( Turtle),https://www.christies.com/lot/lot-6429566?ldp_breadcrumb=back&intObjectID=6429566&from=salessummary&lid=1,"FRANCOIS-XAVIER LALANNE (1927-2008)<br>,<i>Tortue (</i><i>Turtle)</i><br>,monogrammed and numbered &#8216;FXL 62/100&#8217; (on the reverse)<br>,patinated bronze sculpture<br>,13.5 (H) x 26 x 28.5 cm. (5 1/4 x 10 1/4 x 11 1/4 in.)<br>,Executed in 1973<br>,edition: 62/100<br>,<br>,<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,245,252000.0,200000.0,300000.0,HKD,20th Century Art Day Sale,Hong Kong,WALASSE TING,Love Me?,https://www.christies.com/lot/lot-6429567?ldp_breadcrumb=back&intObjectID=6429567&from=salessummary&lid=1,"WALASSE TING (DING XIONGQUAN 1928-2010)<br>,<i>Love Me?</i><br>,signed tilted and dated &#8216;Love me? ting 86&#8217;&#8217; (on the reverse)<br>,oil on canvas<br>,71.4 x 101.4 cm. (28 1/8 x 39 7/8 in.)<br>,Painted in 1986<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,246,214200.0,150000.0,250000.0,HKD,20th Century Art Day Sale,Hong Kong,ZENZABURO KOJIMA,Anemones,https://www.christies.com/lot/lot-6429568?ldp_breadcrumb=back&intObjectID=6429568&from=salessummary&lid=1,"ZENZABURO KOJIMA (1893-1962)<br>,<i>Anemones</i><br>,signed in Japanese (lower left); signed titled and dated in Japanese (on the reverse)<br>,oil on canvas<br>,32 x 41 cm. (12 5/8 x 16 1/8 in.)<br>,Painted in 1949<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,247,302400.0,100000.0,150000.0,HKD,20th Century Art Day Sale,Hong Kong,ZENZABURO KOJIMA,Pine Trees in a Garden,https://www.christies.com/lot/lot-6429569?ldp_breadcrumb=back&intObjectID=6429569&from=salessummary&lid=1,"ZENZABURO KOJIMA (1893-1962)<br>,<i>Pine Trees in a Garden</i><br>,signed &#8216;Z. Z. Kojima&#8217; (lower right)<br>,oil on canvas<br>,53.4 x 45.3 cm. (21 x 17 7/8 in.)<br>,Painted in 1932<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,248,176400.0,150000.0,250000.0,HKD,20th Century Art Day Sale,Hong Kong,KUO HSUEH-HU,Phalaenopsis orchird; A peaceful village; A rising sun,https://www.christies.com/lot/lot-6429570?ldp_breadcrumb=back&intObjectID=6429570&from=salessummary&lid=1,"KUO HSUEH-HU (GUO XUEHU 1908-2012)<br>,<i>Phalaenopsis orchird; A peaceful village; A rising sun</i><br>,signed and dated in Chinese and inscribed respectively (upper right of each); titled and inscribed in Chinese on the cover and inside of the box for &#8216;Phalaenopsis orchid&#8217; and &#8216;A peaceful village&#8217;;<br>,hanging scroll ink and color on silk (3)<br>,42 x 50 cm; (16 1/2 x 19 5/8 in.) <br>,48 x 49 cm; (18 7/8 x 19 1/4 in.) <br>,40.5 x 50.5 cm. (16 x 19 7/8 in.)<br>,Painted in 1954; 1956; &amp; 1960 <br>,five seals of the artist<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,249,567000.0,400000.0,600000.0,HKD,20th Century Art Day Sale,Hong Kong,HOO MOJONG(HE MUQUN,"Red, Green and Yellow Apples",https://www.christies.com/lot/lot-6429571?ldp_breadcrumb=back&intObjectID=6429571&from=salessummary&lid=1,"HOO MOJONG(HE MUQUN 1924-2012)<br>,<i>Red Green and Yellow Apples</i><br>,signed &#8216;MOJONG&#8217; (lower right)<br>,oil on canvas<br>,108.5 x 68 cm ( 42 3/4 x 26 3/4 in.)<br>,Painted in 1995<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,250,604800.0,380000.0,500000.0,HKD,20th Century Art Day Sale,Hong Kong,FAN TCHUNPI,Peaches,https://www.christies.com/lot/lot-6429572?ldp_breadcrumb=back&intObjectID=6429572&from=salessummary&lid=1,"FAN TCHUNPI (FANG JUNBI 1898-1986)<br>,<i>Peaches</i><br>,signed and signed in Chinese &#8216;Fantchunpi&#8217; (lower right); Initialed and dated &#8216;F - 1924&#8217; (on the reverse)<br>,oil on canvas<br>,33 x 40.6 cm. (13 x 16 in.)<br>,Painted in 1924<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,251,27720.0,80000.0,120000.0,HKD,20th Century Art Day Sale,Hong Kong,FAN TCHUNPI,Hong Kong Harbor,https://www.christies.com/lot/lot-6429573?ldp_breadcrumb=back&intObjectID=6429573&from=salessummary&lid=1,"FAN TCHUNPI (FANG JUNBI 1898-1986)<br>,<i>Hong Kong Harbor</i><br>,signed in Chinese (lower right)<br>,ink and gouache on paper<br>,32.5 x 44 cm. (12 3/4 x 17 3/8 in.)<br>,Painted in 1960-1970s <br>,one seal of the artist<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,252,163800.0,160000.0,250000.0,HKD,20th Century Art Day Sale,Hong Kong,FAN TCHUNPI,"Peach Blossoms, Beijing",https://www.christies.com/lot/lot-6429574?ldp_breadcrumb=back&intObjectID=6429574&from=salessummary&lid=1,"FAN TCHUNPI (FANG JUNBI 1898-1986)<br>,<i>Peach Blossoms Beijing</i><br>,signed in Chinese (lower left)<br>,hanging scroll ink and colour on paper<br>,59 x 39.5 cm. (23 1/4 x 15 1/2 in.)<br>,Painted in 1973<br>,two seals of the artist<br>,"
29789,https://www.christies.com/en/auction/20th-century-art-day-sale-29789/,2023-05-28T16:00Z,2023-05-29T00:00Z,253,,500000.0,800000.0,HKD,20th Century Art Day Sale,Hong Kong,FAN TCHUNPI,Old Tree by Stream,https://www.christies.com/lot/lot-6429575?ldp_breadcrumb=back&intObjectID=6429575&from=salessummary&lid=1,"FAN TCHUNPI (FANG JUNBI 1898-1986)<br>,<i>Old Tree by Stream</i><br>,signed and signed in Chinese &#8216;Fantchunpi&#8217; (lower left)<br>,oil on canvas<br>,76.2 x 114.3 cm. (30 x 45 in.)<br>,Painted in 1936<br>,"
