auction_id,lot_number,final_price,low_estimate,high_estimate,is_sold,currency,date,auction_url,item_url,auction_title,art_title,location,art_maker,description
UK050223,24,60960,50000,70000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/carlo-mollino/UK050223/24,Design,"Unique pair of wall-mounted bedside tables from Casa Orengo, Turin",London,Carlo Mollino,"circa 1949;Maple, glass, painted steel, brass.;Each: 12.7 x 48.3 x 35.6 cm (5 x 19 x 14 in.);Executed by Apelli & Varesio, Turin, Italy. One glass shelf acid-etched VITREX."
UK050223,25,8890,6000,8000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gio-ponti/UK050223/25,Design,Pair of chairs,London,Gio Ponti,"circa 1935;Walnut, gilt wood, fabric, brass.;Each: 84.1 x 39.3 x 47.2 cm (33 1/8 x 15 1/2 x 18 5/8 in.);Together with a certificate of expertise from the Gio Ponti Archives."
UK050223,26,57150,20000,30000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/seguso/UK050223/26,Design,Set of three ceiling lights,London,Seguso,"1950s;Glass, iridescent lattimo glass, brass, painted steel.;Each: 144 cm (56 3/4 in.) drop, 35.3 cm (13 7/8 in.) diameter;Produced by Seguso Vetri d'Arte, Murano, Italy."
UK050223,27,660400,250000,350000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/francoisxavier-lalanne/UK050223/27,Design,'Mouton de Pierre' and 'Mouton Transhumant',London,François-Xavier Lalanne,"designed 1979 and 1988, executed 1993;Epoxy stone, patinated bronze.;Mouton de Pierre: 85 x 91.5 x 39.7 cm (33 1/2 x 36 x 15 5/8 in.);Mouton Transhumant: 89.3 x 102.3 x 38.4 cm (35 1/8 x 40 1/4 x 15 1/8 in.);Number 2 from 30 artist's proofs and number 45 from an edition of 250 respectively. Side of Mouton de Pierre head impressed 2/30. Back of Mouton Transhumant head impressed 45/250 fxl LALANNE. Underside of each incised LALANNE 93."
UK050223,28,6350,5000,7000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/pierre-guariche/UK050223/28,Design,'G1' adjustable wall light,London,Pierre Guariche,"circa 1952;Painted aluminium, painted steel, brass.;100 x 180 x 43.5 cm (39 3/8 x 70 7/8 x 17 1/8 in.);Manufactured by Disderot, Paris, France."
UK050223,29,57150,15000,20000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-prouve/UK050223/29,Design,"Low table, model no. 402",London,Jean Prouvé,"circa 1952;Oak, painted steel.;35.5 cm (13 7/8 in.) high, 80 cm (31 1/2 in.) diameter;Manufactured by Les Ateliers Jean Prouve, Nancy, France."
UK050223,30,None,40000,60000,False,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-royere/UK050223/30,Design,Sofa,London,Jean Royère,"circa 1962;Oak, fabric.;84.7 x 211 x 280.7 cm (33 3/8 x 83 1/8 x 110 1/2 in.)"
UK050223,31,3810,3000,5000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/charlotte-perriand/UK050223/31,Design,"Side table, designed for the Hotel de France, Conakry",London,Charlotte Perriand,"circa 1953;Stained beech-veneered wood, okoume, aluminium.;70.1 x 74.9 x 75 cm (27 5/8 x 29 1/2 x 29 1/2 in.)"
UK050223,32,38100,12000,18000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-prouve/UK050223/32,Design,Pivoting 'Potence' wall light,London,Jean Prouvé,"circa 1947;Painted steel.;30 x 3.6 x 154.5 cm (11 3/4 x 1 3/8 x 60 7/8 in.);Produced by Les Ateliers Jean Prouve, France."
UK050223,33,4445,2000,3000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/georges-jouve/UK050223/33,Design,Chalice,London,Georges Jouve,"circa 1955;Glazed earthenware.;25.2 cm (9 7/8 in.) high, 13 cm (5 1/8 in.) diameter;Underside incised with artist's cipher, JOUVE and M."
